slot_id,slot_width,mac,desc,isiot,ethlen,ethsum,ethstd,remote_ip,avg_ttl,tcp_udp_ratio,ports,tcpts_skew,max_winds,udns,dns,avg_ua
1546715222.59,60,f4:f5:e8:57:86:a6,Chromecast,1,381,60114,0.5556921288300889,11,75.1458885942,0.428571428571,7,,403,4,5,
1546715222.59,60,08:62:66:b2:82:d4,Asus ZenPad,0,6,1586,0.150794283611583,2,64.0,1.0,2,2.0483627071938084,1664,0,0,
1546715222.59,60,e0:94:67:31:ab:f0,lenovo laptop,0,175,18985,0.6054133019529526,17,122.16091954,0.5,8,,17520,1,1,
1546715222.59,60,dc:0b:34:f2:20:42,LG G3,0,644,146925,0.7212146348655832,20,64.0,0.5,6,1087947.5134901898,65535,8,8,
1546715222.59,60,04:cf:8c:84:2b:73,yeelink,1,26,4267,3.54156306216216,2,255.0,0.333333333333,3,,14000,0,0,
1546715222.59,60,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,369,98662,0.6193868371327304,13,68.5300546448,0.6,5,6359053325611562.0,65535,5,5,
1546715222.59,60,5c:70:a3:61:5a:04,nexus 5x,0,232,34319,1.3756348534042755,16,71.8421052632,0.625,8,42.30097766751218,65535,8,8,70.0
1546715222.59,120,f4:f5:e8:57:86:a6,Chromecast,1,426,68401,0.8187248970527774,11,78.5178147268,0.428571428571,7,0.2771641915584467,403,4,8,
1546715222.59,120,08:62:66:b2:82:d4,Asus ZenPad,0,6,1586,0.150794283611583,2,64.0,1.0,2,2.0483627071938084,1664,0,0,
1546715222.59,120,e0:94:67:31:ab:f0,lenovo laptop,0,450,120503,0.6062682031692553,27,124.567567568,0.454545454545,11,,65535,10,10,24.0
1546715222.59,120,dc:0b:34:f2:20:42,LG G3,0,734,163015,1.2164027941832027,21,64.0,0.5,6,1092911.8473777885,65535,8,8,
1546715222.59,120,04:cf:8c:84:2b:73,yeelink,1,36,4992,4.564995362453213,2,255.0,0.333333333333,3,,14000,0,0,
1546715222.59,120,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,398,100785,1.660755211195929,13,68.2188295165,0.6,5,6365546051625892.0,65535,6,6,
1546715222.59,120,5c:70:a3:61:5a:04,nexus 5x,0,266,36731,1.4050262921646102,17,73.3103448276,0.625,8,707.2293486155974,65535,8,8,70.0
1546715282.72,60,f4:f5:e8:57:86:a6,Chromecast,1,47,8371,1.5297434902714,8,107.409090909,0.5,6,,403,2,3,
1546715282.72,60,e0:94:67:31:ab:f0,lenovo laptop,0,275,101518,0.5926638170908293,25,126.118518519,0.5,10,,65535,9,9,24.0
1546715282.72,60,dc:0b:34:f2:20:42,LG G3,0,90,16090,2.638633632726941,7,64.0,1.0,2,385.33169112047074,65535,0,0,
1546715282.72,60,04:cf:8c:84:2b:73,yeelink,1,10,725,5.891849290274955,2,255.0,0.5,2,,13939,0,0,
1546715282.72,60,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,34,2577,3.8204750256022164,8,72.0,0.5,4,297791.4923827686,65535,1,1,
1546715282.72,60,5c:70:a3:61:5a:04,nexus 5x,0,34,2412,1.527977978585506,11,83.4545454545,0.8,5,300.4485128231907,65535,0,0,
1546715222.59,180,f4:f5:e8:57:86:a6,Chromecast,1,493,86259,0.9005459426454954,13,80.0504201681,0.375,8,0.4208710815815224,403,4,12,
1546715222.59,180,08:62:66:b2:82:d4,Asus ZenPad,0,10,1920,43.941203413252,2,64.0,1.0,3,3713.8504003600538,1664,0,0,
1546715222.59,180,e0:94:67:31:ab:f0,lenovo laptop,0,526,131295,0.6978363607048533,27,123.087040619,0.454545454545,11,,65535,10,10,24.0
